t_gps,r_x,r_y,r_z,v_x,v_y,v_z
1461491384.934000,4115342.637542,1162470.762200,4716913.290181,-84.756782,299.210967,0.207593
1461491389.934000,4114918.580929,1163966.739674,4716914.328848,-84.865870,299.180045,0.207874
1461491394.934000,4114493.978903,1165462.562435,4716915.368920,-84.974947,299.149082,0.208155
1461491399.934000,4114068.831523,1166958.230284,4716916.410399,-85.084012,299.118080,0.208436
1461491404.934000,4113643.138843,1168453.743022,4716917.453284,-85.193066,299.087038,0.208718
1461491409.934000,4113216.900920,1169949.100450,4716918.497575,-85.302109,299.055956,0.208999
1461491414.934000,4112790.117812,1171444.302369,4716919.543272,-85.411140,299.024834,0.209280
1461491419.934000,4112362.789575,1172939.348581,4716920.590374,-85.520161,298.993673,0.209561
1461491424.934000,4111934.916266,1174434.238887,4716921.638882,-85.629169,298.962472,0.209842
1461491429.934000,4111506.497941,1175928.973087,4716922.688795,-85.738167,298.931231,0.210123
1461491434.934000,4111077.534658,1177423.550984,4716923.740114,-85.847153,298.899950,0.210404
1461491439.934000,4110648.026473,1178917.972379,4716924.792837,-85.956127,298.868630,0.210685
1461491444.934000,4110217.973444,1180412.237073,4716925.846965,-86.065090,298.837270,0.210966
1461491449.934000,4109787.375628,1181906.344867,4716926.902499,-86.174042,298.805870,0.211247
1461491454.934000,4109356.233082,1183400.295563,4716927.959437,-86.282982,298.774431,0.211528
1461491459.934000,4108924.545864,1184894.088962,4716929.017779,-86.391911,298.742951,0.211809
1461491464.934000,4108492.314030,1186387.724866,4716930.077526,-86.500828,298.711432,0.212090
1461491469.934000,4108059.537639,1187881.203076,4716931.138677,-86.609734,298.679874,0.212370
1461491474.934000,4107626.216748,1189374.523393,4716932.201232,-86.718629,298.648275,0.212651
1461491479.934000,4107192.351414,1190867.685619,4716933.265191,-86.827511,298.616637,0.212932
1461491484.934000,4106757.941695,1192360.689556,4716934.330554,-86.936382,298.584960,0.213213
1461491489.934000,4106322.987648,1193853.535005,4716935.397320,-87.045242,298.553242,0.213494
1461491494.934000,4105887.489333,1195346.221767,4716936.465490,-87.154090,298.521485,0.213774
1461491499.934000,4105451.446806,1196838.749645,4716937.535064,-87.262927,298.489688,0.214055
1461491504.934000,4105014.860126,1198331.118439,4716938.606041,-87.371752,298.457852,0.214335
1461491509.934000,4104577.729350,1199823.327951,4716939.678420,-87.480565,298.425976,0.214616
1461491514.934000,4104140.054537,1201315.377983,4716940.752203,-87.589367,298.394060,0.214897
1461491519.934000,4103701.835744,1202807.268337,4716941.827389,-87.698157,298.362104,0.215177
1461491524.934000,4103263.073031,1204298.998814,4716942.903977,-87.806935,298.330109,0.215458
1461491529.934000,4102823.766456,1205790.569217,4716943.981968,-87.915702,298.298074,0.215738
1461491534.934000,4102383.916076,1207281.979345,4716945.061361,-88.024457,298.266000,0.216019
1461491539.934000,4101943.521950,1208773.229003,4716946.142157,-88.133200,298.233886,0.216299
1461491544.934000,4101502.584138,1210264.317990,4716947.224354,-88.241931,298.201732,0.216580
1461491549.934000,4101061.102696,1211755.246109,4716948.307954,-88.350651,298.169538,0.216860
1461491554.934000,4100619.077685,1213246.013162,4716949.392955,-88.459359,298.137305,0.217140
1461491559.934000,4100176.509163,1214736.618951,4716950.479358,-88.568056,298.105033,0.217421
1461491564.934000,4099733.397189,1216227.063277,4716951.567162,-88.676740,298.072720,0.217701
1461491569.934000,4099289.741821,1217717.345942,4716952.656368,-88.785413,298.040368,0.217981
1461491574.934000,4098845.543119,1219207.466748,4716953.746975,-88.894074,298.007977,0.218261
1461491579.934000,4098400.801142,1220697.425498,4716954.838983,-89.002723,297.975546,0.218542
1461491584.934000,4097955.515948,1222187.221992,4716955.932393,-89.111360,297.943075,0.218822
1461491589.934000,4097509.687598,1223676.856034,4716957.027203,-89.219986,297.910564,0.219102
1461491594.934000,4097063.316150,1225166.327424,4716958.123413,-89.328600,297.878014,0.219382
1461491599.934000,4096616.401663,1226655.635965,4716959.221024,-89.437201,297.845425,0.219662
1461491604.934000,4096168.944198,1228144.781459,4716960.320036,-89.545791,297.812795,0.219942
1461491609.934000,4095720.943813,1229633.763708,4716961.420447,-89.654369,297.780127,0.220222
1461491614.934000,4095272.400568,1231122.582514,4716962.522259,-89.762935,297.747418,0.220502
1461491619.934000,4094823.314523,1232611.237679,4716963.625471,-89.871489,297.714670,0.220782
1461491624.934000,4094373.685737,1234099.729006,4716964.730082,-89.980031,297.681883,0.221062
1461491629.934000,4093923.514270,1235588.056295,4716965.836093,-90.088561,297.649056,0.221342
1461491634.934000,4093472.800183,1237076.219351,4716966.943504,-90.197080,297.616189,0.221622
1461491639.934000,4093021.543534,1238564.217974,4716968.052314,-90.305586,297.583283,0.221902
1461491644.934000,4092569.744384,1240052.051966,4716969.162523,-90.414080,297.550337,0.222181
1461491649.934000,4092117.402794,1241539.721131,4716970.274131,-90.522562,297.517351,0.222461
1461491654.934000,4091664.518822,1243027.225270,4716971.387138,-90.631032,297.484327,0.222741
1461491659.934000,4091211.092530,1244514.564185,4716972.501544,-90.739491,297.451262,0.223021
1461491664.934000,4090757.123977,1246001.737679,4716973.617348,-90.847937,297.418158,0.223300
1461491669.934000,4090302.613224,1247488.745555,4716974.734551,-90.956371,297.385015,0.223580
1461491674.934000,4089847.560332,1248975.587613,4716975.853152,-91.064792,297.351831,0.223860
1461491679.934000,4089391.965360,1250462.263658,4716976.973151,-91.173202,297.318609,0.224139
1461491684.934000,4088935.828370,1251948.773491,4716978.094549,-91.281600,297.285347,0.224419
1461491689.934000,4088479.149422,1253435.116914,4716979.217344,-91.389985,297.252045,0.224698
1461491694.934000,4088021.928577,1254921.293730,4716980.341537,-91.498359,297.218704,0.224978
1461491699.934000,4087564.165895,1256407.303741,4716981.467127,-91.606720,297.185323,0.225257
1461491704.934000,4087105.861438,1257893.146750,4716982.594115,-91.715069,297.151903,0.225537
1461491709.934000,4086647.015266,1259378.822560,4716983.722500,-91.823406,297.118443,0.225816
1461491714.934000,4086187.627441,1260864.330972,4716984.852282,-91.931730,297.084944,0.226096
1461491719.934000,4085727.698023,1262349.671790,4716985.983461,-92.040043,297.051405,0.226375
1461491724.934000,4085267.227073,1263834.844816,4716987.116037,-92.148343,297.017827,0.226655
1461491729.934000,4084806.214653,1265319.849851,4716988.250010,-92.256631,296.984210,0.226934
1461491734.934000,4084344.660825,1266804.686700,4716989.385379,-92.364907,296.950552,0.227213
1461491739.934000,4083882.565648,1268289.355165,4716990.522144,-92.473170,296.916856,0.227492
1461491744.934000,4083419.929186,1269773.855047,4716991.660306,-92.581421,296.883120,0.227772
1461491749.934000,4082956.751499,1271258.186151,4716992.799863,-92.689660,296.849344,0.228051
1461491754.934000,4082493.032648,1272742.348278,4716993.940817,-92.797886,296.815529,0.228330
1461491759.934000,4082028.772697,1274226.341232,4716995.083166,-92.906100,296.781675,0.228609
1461491764.934000,4081563.971705,1275710.164814,4716996.226911,-93.014302,296.747781,0.228888
1461491769.934000,4081098.629736,1277193.818829,4716997.372052,-93.122492,296.713847,0.229167
1461491774.934000,4080632.746851,1278677.303077,4716998.518587,-93.230669,296.679875,0.229446
1461491779.934000,4080166.323111,1280160.617363,4716999.666518,-93.338833,296.645862,0.229725
1461491784.934000,4079699.358579,1281643.761489,4717000.815844,-93.446986,296.611811,0.230004
1461491789.934000,4079231.853318,1283126.735258,4717001.966564,-93.555125,296.577719,0.230283
1461491794.934000,4078763.807388,1284609.538473,4717003.118680,-93.663253,296.543589,0.230562
1461491799.934000,4078295.220853,1286092.170937,4717004.272189,-93.771368,296.509419,0.230841
1461491804.934000,4077826.093774,1287574.632452,4717005.427094,-93.879470,296.475210,0.231120
1461491809.934000,4077356.426214,1289056.922822,4717006.583392,-93.987560,296.440961,0.231399
1461491814.934000,4076886.218236,1290539.041849,4717007.741085,-94.095637,296.406673,0.231677
1461491819.934000,4076415.469901,1292020.989336,4717008.900171,-94.203702,296.372345,0.231956
1461491824.934000,4075944.181273,1293502.765087,4717010.060651,-94.311755,296.337978,0.232235
