t_gps,r_x,r_y,r_z,v_x,v_y,v_z
1460408565.985957,5960024.500760,402463.933124,2230163.524325,-29.342324,434.193251,0.060018
1460408655.985957,5957255.481013,441532.378361,2230169.254823,-32.191231,433.991331,0.067333
1460408745.985957,5954230.121142,480581.809511,2230175.643578,-35.038751,433.770718,0.074645
1460408835.985957,5950948.551455,519610.544655,2230182.690313,-37.884762,433.531421,0.081954
1460408925.985957,5947410.913294,558616.902765,2230190.394726,-40.729141,433.273452,0.089260
1460409015.985957,5943617.359030,597599.203778,2230198.756485,-43.571766,432.996821,0.096562
1460409105.985957,5939568.052059,636555.768664,2230207.775230,-46.412515,432.701540,0.103859
1460409195.985957,5935263.166789,675484.919505,2230217.450572,-49.251264,432.387622,0.111152
1460409285.985957,5930702.888638,714384.979561,2230227.782095,-52.087892,432.055081,0.118441
1460409375.985957,5925887.414026,753254.273347,2230238.769353,-54.922276,431.703930,0.125724
1460409465.985957,5920816.950361,792091.126702,2230250.411874,-57.754295,431.334185,0.133002
1460409555.985957,5915491.716038,830893.866862,2230262.709156,-60.583826,430.945862,0.140274
1460409645.985957,5909911.940421,869660.822534,2230275.660669,-63.410748,430.538977,0.147540
1460409735.985957,5904077.863840,908390.323964,2230289.265856,-66.234938,430.113548,0.154800
1460409825.985957,5897989.737579,947080.703013,2230303.524131,-69.056276,429.669594,0.162053
1460409915.985957,5891647.823861,985730.293226,2230318.434879,-71.874639,429.207133,0.169299
1460410005.985957,5885052.395844,1024337.429906,2230333.997458,-74.689907,428.726185,0.176538
1460410095.985957,5878203.737602,1062900.450183,2230350.211198,-77.501958,428.226772,0.183769
1460410185.985957,5871102.144118,1101417.693089,2230367.075401,-80.310670,427.708914,0.190992
1460410275.985957,5863747.921269,1139887.499626,2230384.589340,-83.115923,427.172634,0.198207
1460410365.985957,5856141.385811,1178308.212840,2230402.752262,-85.917597,426.617955,0.205413
1460410455.985957,5848282.865371,1216678.177891,2230421.563383,-88.715570,426.044901,0.212611
1460410545.985957,5840172.698427,1254995.742126,2230441.021893,-91.509721,425.453497,0.219800
1460410635.985957,5831811.234297,1293259.255147,2230461.126955,-94.299932,424.843767,0.226979
1460410725.985957,5823198.833121,1331467.068886,2230481.877703,-97.086080,424.215739,0.234148
1460410815.985957,5814335.865850,1369617.537673,2230503.273242,-99.868047,423.569440,0.241307
1460410905.985957,5805222.714224,1407709.018308,2230525.312651,-102.645713,422.904896,0.248456
1460410995.985957,5795859.770763,1445739.870133,2230547.994982,-105.418957,422.222138,0.255594
1460411085.985957,5786247.438741,1483708.455099,2230571.319256,-108.187661,421.521193,0.262721
1460411175.985957,5776386.132177,1521613.137841,2230595.284470,-110.951705,420.802093,0.269837
1460411265.985957,5766276.275813,1559452.285745,2230619.889591,-113.710970,420.064869,0.276941
1460411355.985957,5755918.305095,1597224.269021,2230645.133559,-116.465337,419.309551,0.284033
1460411445.985957,5745312.666159,1634927.460771,2230671.015288,-119.214689,418.536173,0.291113
1460411535.985957,5734459.815804,1672560.237059,2230697.533662,-121.958905,417.744769,0.298180
1460411625.985957,5723360.221481,1710120.976985,2230724.687539,-124.697868,416.935371,0.305235
1460411715.985957,5712014.361266,1747608.062748,2230752.475750,-127.431461,416.108015,0.312276
1460411805.985957,5700422.723842,1785019.879722,2230780.897097,-130.159565,415.262737,0.319304
1460411895.985957,5688585.808480,1822354.816522,2230809.950357,-132.882062,414.399573,0.326318
1460411985.985957,5676504.125013,1859611.265074,2230839.634279,-135.598836,413.518560,0.333319
1460412075.985957,5664178.193819,1896787.620686,2230869.947583,-138.309770,412.619737,0.340304
1460412165.985957,5651608.545795,1933882.282114,2230900.888964,-141.014746,411.703141,0.347276
1460412255.985957,5638795.722334,1970893.651633,2230932.457090,-143.713649,410.768812,0.354232
1460412345.985957,5625740.275304,2007820.135107,2230964.650600,-146.406362,409.816791,0.361173
1460412435.985957,5612442.767026,2044660.142055,2230997.468109,-149.092769,408.847118,0.368098
1460412525.985957,5598903.770241,2081412.085721,2231030.908202,-151.772754,407.859836,0.375008
1460412615.985957,5585123.868096,2118074.383141,2231064.969439,-154.446202,406.854986,0.381901
1460412705.985957,5571103.654113,2154645.455213,2231099.650353,-157.112998,405.832613,0.388778
1460412795.985957,5556843.732165,2191123.726765,2231134.949451,-159.773027,404.792760,0.395638
1460412885.985957,5542344.716447,2227507.626621,2231170.865212,-162.426174,403.735472,0.402481
1460412975.985957,5527607.231455,2263795.587671,2231207.396089,-165.072325,402.660794,0.409307
1460413065.985957,5512631.911955,2299986.046935,2231244.540508,-167.711366,401.568773,0.416115
1460413155.985957,5497419.402958,2336077.445634,2231282.296871,-170.343184,400.459456,0.422905
1460413245.985957,5481970.359690,2372068.229256,2231320.663549,-172.967665,399.332891,0.429677
1460413335.985957,5466285.447565,2407956.847622,2231359.638892,-175.584695,398.189125,0.436431
1460413425.985957,5450365.342157,2443741.754954,2231399.221220,-178.194163,397.028209,0.443166
