t_gps_s,r_x,r_y,r_z,v_x,v_y,v_z
1461957571.408,4508.601269412109,5693.973250860265,949.0672817669414,-1.459421835385001,-0.055015107078361325,7.2350591548421335
1461957576.408,4501.246946882845,5693.625926414061,985.230392351578,-1.4822955690706294,-0.08392531730532937,7.230136220277359
1461957581.408,4493.778349371775,5693.134055764432,1021.3684281235006,-1.5051316537810635,-0.11283337333043164,7.225029284120637
1461957586.408,4486.195666592623,5692.497651535697,1057.4804693993042,-1.5279295029404238,-0.14173853318425245,7.2197384781616165
1461957591.408,4478.49909118555,5691.716730065007,1093.5655971661467,-1.5506885309960126,-0.17064005499833002,7.214263939019929
1461957596.408,4470.688818716906,5690.791311397874,1129.6228931065991,-1.5734081550272094,-0.19953719574095885,7.208605808152015
1461957601.408,4462.765047669022,5689.72141929147,1165.6514396225878,-1.5960877909228657,-0.22842921430219576,7.202764231840092
1461957606.408,4454.727979438828,5688.507081210882,1201.6503198595074,-1.6187268565918203,-0.2573153689590981,7.196739361181017
1461957611.408,4446.577818331176,5687.148328329256,1237.6186177302413,-1.6413247712007433,-0.28619491805147845,7.1905313520915115
1461957616.408,4438.314771552408,5685.645195527642,1273.5554179392966,-1.6638809542046147,-0.315067120734966,7.184140365301118
1461957621.408,4429.939049205993,5683.997721393066,1309.4598060067285,-1.6863948289064865,-0.3439312342488847,7.177566566352198
1461957626.408,4421.4508642863075,5682.205948217732,1345.3308682925526,-1.7088658149150433,-0.3727865198479776,7.170810125571279
1461957631.408,4412.8504326737775,5680.26992199733,1381.167692020054,-1.7312933378198068,-0.4016322352763382,7.163871218101349
1461957636.408,4404.137973127858,5678.189692430355,1416.9693653007557,-1.7536768209874936,-0.430467641181167,7.156750023857512
1461957641.408,4395.313707282318,5675.965312916101,1452.7349771570723,-1.7760156908980207,-0.4592919970418734,7.149446727553823
1461957646.408,4386.377859637826,5673.596840553911,1488.463617547642,-1.7983093744196594,-0.48810456325645646,7.141961518673725
1461957651.408,4377.330657559004,5671.0843361394545,1524.1543773897881,-1.8205572999586366,-0.5169046003175026,7.134294591480057
1461957656.408,4368.172331263071,5668.427864166757,1559.8063485845098,-1.842758896498708,-0.5456913695952608,7.126446144997544
1461957661.408,4358.903113820403,5665.627492821274,1595.4186240397596,-1.86491359523734,-0.5744641320843584,7.118416383016438
1461957666.408,4349.52324114152,5662.683293983126,1630.9902976942046,-1.8870208278212885,-0.6032221498080617,7.110205514076142
1461957671.408,4340.032951976281,5659.5953432206525,1666.520464541414,-1.9090800278263487,-0.6319646847350668,7.10181375146658
1461957676.408,4330.432487903965,5656.363719791143,1702.0082206527945,-1.9310906297832844,-0.6606909995061869,7.0932413132170495
1461957681.408,4320.722093327826,5652.988506637473,1737.4526632022603,-1.9530520690459525,-0.689400357608065,7.084488422091226
1461957686.408,4310.9020154699,5649.469790384965,1772.852890488888,-1.9749637832619555,-0.7180920222735949,7.0755553055766995
1461957691.408,4300.972504361567,5645.8076613407675,1808.2080019614207,-1.9968252109329114,-0.7467652576224282,7.066442195889067
1461957696.408,4290.933812839256,5642.002213489632,1843.5170982411976,-2.018635791426277,-0.77541932864915,7.057149329945105
1461957701.408,4280.786196536214,5638.053544492124,1878.7792811461559,-2.040394966594249,-0.8040535000627642,7.047676949372317
1461957706.408,4270.529913877335,5633.96175568066,1913.993653714028,-2.0621021787337668,-0.8326670378664858,7.038025300494837
1461957711.408,4260.165226069597,5629.726952058538,1949.1593202259728,-2.083756871348669,-0.861259208759293,7.028194634324109
1461957716.408,4249.692397097377,5625.349242295279,1984.2753862296731,-2.1053584906530887,-0.8898292791036511,7.018185206555472
1461957721.408,4239.111693714188,5620.8287387241835,2019.3409585633501,-2.126906483172206,-0.9183765167181264,7.007997277554296
1461957726.408,4228.423385436002,5616.165557338934,2054.355145378511,-2.1484002971865266,-0.9469001898442002,6.997631112353702
1461957731.408,4217.627744532753,5611.359817791143,2089.3170561637253,-2.169839382596365,-0.9753995672717792,6.987086980640925
1461957736.408,4206.725046024,5606.411643384766,2124.2258017673744,-2.1912231899814287,-1.0038739190695196,6.976365156751854
1461957741.408,4195.715567668063,5601.321161075123,2159.080494421318,-2.2125511731655934,-1.0323225147121775,6.965465919662165
1461957746.408,4184.599589955957,5596.08850146417,2193.8802477640834,-2.2338227852360433,-1.0607446260801225,6.954389552980501
1461957751.408,4173.377396104248,5590.713798796829,2228.6241768632644,-2.255037482712396,-1.0891395243615989,6.943136344928462
1461957756.408,4162.04927204769,5585.197190956495,2263.311398239683,-2.276194722217042,-1.1175064825920344,6.9317065883451505
1461957761.408,4150.615506430205,5579.5388194624675,2297.9410298896614,-2.2972939630417386,-1.1458447737759343,6.920100580679446
1461957766.408,4139.076390597626,5573.738829465405,2332.5121913083176,-2.3183346655432615,-1.1741536720719523,6.908318623966352
1461957771.408,4127.432218590345,5567.797369742884,2367.0240035125435,-2.3393162911943364,-1.2024324528356374,6.896361024819726
1461957776.408,4115.683287135287,5561.714592695318,2401.475589063594,-2.3602383041697976,-1.2306803914334523,6.884228094439095
1461957781.408,4103.829895638001,5555.490654341528,2435.866072090277,-2.38110016929204,-1.2588967648262042,6.8719201485832855
1461957786.408,4091.8723461729523,5549.12571431566,2470.194578311448,-2.4019013528441064,-1.2870808509560447,6.8594375075626886
1461957791.408,4079.8109434782696,5542.619935860189,2504.4602350595,-2.422641324014876,-1.3152319277742208,6.846780496239717
1461957796.408,4067.6459949448727,5535.973485823932,2538.662171301689,-2.4433195526962663,-1.3433492748399658,6.833949444006066
1461957801.408,4055.377810609887,5529.186534655435,2572.79951766423,-2.46393551012261,-1.3714321728921277,6.820944684775895
1461957806.408,4043.0067031481576,5522.2592563987055,2606.8714064539804,-2.484488670306291,-1.399479902843268,6.8077665569803685
1461957811.408,4030.5329878627776,5515.1918286889595,2640.876971681163,-2.5049785075398177,-1.4274917476141127,6.794415403550829
1461957816.408,4017.956982676969,5507.984432747217,2674.8153490822683,-2.525404499706383,-1.4554669897834174,6.7808915719156175
1461957821.408,4005.2790081262697,5500.637253375019,2708.68567614165,-2.5457661242030554,-1.4834049145347308,6.767195413975969
1461957826.408,3992.4993873493754,5493.150478949151,2742.487092114904,-2.566062861895716,-1.5113048068451462,6.753327286111471
1461957831.408,3979.618446079705,5485.524301416505,2776.2187380505034,-2.586294194603397,-1.539165953338852,6.739287549148685
1461957836.408,3966.636512635463,5477.75891628946,2809.879756812237,-2.6064596059200085,-1.566987641725973,6.725076568376153
1461957841.408,3953.5539179128173,5469.8545226389,2843.4692931015043,-2.6265585819801345,-1.5947691602568739,6.710694713510293
1461957846.408,3940.370995375317,5461.811323089924,2876.986493479297,-2.646590609150735,-1.6225097994156386,6.6961423586944875
1461957851.408,3927.088081045759,5453.62952381543,2910.4305063885668,-2.6665551773162406,-1.6502088496208671,6.68141988248226
1461957856.408,3913.705513496504,5445.3093345309935,2943.800482175977,-2.6864517769304257,-1.6778656033284278,6.666527667824994
1461957861.408,3900.2236338410207,5436.850968488374,2977.095573114067,-2.7062799007421745,-1.705479353854571,6.651466102075574
1461957866.408,3886.6427857249564,5428.254642469488,3010.314933423039,-2.726039043649507,-1.733049395490525,6.636235576951549
1461957871.408,3872.963315315287,5419.5205767814505,3043.457719292724,-2.7457287020956755,-1.7605750239627014,6.620836488541954
